"longitude", "latitude", "category", "name"
"139.9277120", "37.4946430", "alcohol", "Wine&Foods MellMonde"
"139.9278290", "37.4951800", "optician", "せき薬局"
"139.9205444", "37.4989281", "place_of_worship", "西蓮寺"
"139.9160860", "37.4816220", "convenience", "ローソン 会津門田日吉店"
"139.9210731", "37.4811718", "place_of_worship", "弘直院"
"139.9417950", "37.4942670", "restaurant", "めでたいや"
"139.9423210", "37.4932230", "books", "ブックスなにわ"
"139.8999961", "37.4876666", "place_of_worship", "熊野神社"
"139.9008033", "37.4899849", "place_of_worship", "二本木稲荷神社"
"139.9008391", "37.4894716", "place_of_worship", "新城寺"
"139.9032864", "37.4898784", "public_building", "幕の内町内会館"
"139.9041103", "37.4941775", "public_building", "柳原町内会館"
"139.9041065", "37.4941369", "place_of_worship", ""
"139.9041780", "37.4937937", "kindergarten", "菅原若葉幼稚園"
"139.9212890", "37.4858660", "clothes", "gu(ジーユー)"
"139.9218010", "37.4858200", "convenience", "セブンイレブン会津米代店"
"139.9267510", "37.4891050", "sports", "ファイテンショップ"
"139.9267080", "37.4889350", "sports", "會誠武道具店"
"139.9256690", "37.4851910", "bakery", "すずぱん"
"139.9273890", "37.4915500", "restaurant", "蕎麦料理 治左ェ門"
"139.9271260", "37.4914740", "doctors", "遠藤皮膚科"
"139.9269660", "37.4907110", "restaurant", "大笑屋"
"139.9272050", "37.4906800", "electronics", "マルコー写真館"
"139.9285250", "37.4981990", "bank", "東邦銀行 会津支店"
"139.9288230", "37.4981650", "bank", "みずほ銀行"
"139.9262100", "37.4987350", "bank", "大東銀行 会津支店"
"139.9252110", "37.4990790", "convenience", "ファミリーマート 会津若松七日町支店"
"139.9254520", "37.4992490", "doctors", "鈴木内科消化器科クリニック"
"139.9252750", "37.4993090", "gift", "レオ氏郷南蛮館"
"139.9352598", "37.4800531", "books", "西沢書店"
"139.9350078", "37.4800745", "shoes", "ABCマート"
"139.9340990", "37.4785030", "hairdresser", "ファミリーカットハウス フレッシュ"
"139.9347470", "37.4789360", "fuel", "ENEOS 城南SS"
"139.9341050", "37.4786800", "dry_cleaning", "コインランドリー サンキュー"
"139.9341319", "37.4801271", "supermarket", "ヨークベニマル 会津門田店"
"139.8756592", "37.5180265", "public_building", "真宮コミュニティセンター"
"139.9207318", "37.4992800", "place_of_worship", "長福寺"
"139.8875693", "37.5245945", "hotel", "湯屋あいづ"
"139.9279533", "37.4961743", "place_of_worship", "神明神社"
"139.9223310", "37.4791370", "fast_food", "元気寿司"
"139.9219920", "37.4791730", "clothes", "手芸のみとや"
"139.9219420", "37.4788060", "fuel", "出光石油"
"139.9232360", "37.4789290", "motorcycle", "カワサキ"
"139.9250810", "37.4788730", "car_rental", "トヨタレンタリース新福島"
"139.9250435", "37.4787076", "bank", "大東銀行 門田支店"
"139.9271610", "37.4784640", "bank", "東邦銀行"
"139.9021580", "37.4808990", "car_repair", "イエローハット 西若松店"
"139.9022550", "37.4804440", "fast_food", "すき屋 会津門田店"
"139.9022970", "37.4800440", "electronics", "au 会津南店"
"139.9023450", "37.4795490", "restaurant", "喜多方ラーメン来夢 門田店"
"139.9024640", "37.4792300", "fuel", "ゼネラル"
"139.9022830", "37.4787930", "restaurant", "COCO’S"
"139.9022810", "37.4785810", "books", "ブックオフ 会津門田店"
"139.9022810", "37.4783650", "clothes", "トーカイ"
"139.9022900", "37.4781200", "convenience", "セブンイレブン 会津飯寺店"
"139.9025680", "37.4742350", "electronics", "docomo"
"139.9028970", "37.4735950", "clothes", "ファッションモール"
"139.9037040", "37.4734000", "supermarket", "ヨークベニマル 会津飯寺店"
"139.9040220", "37.4731830", "pharmacy", "くすりのコダマ"
"139.9041580", "37.4720590", "convenience", "セブンイレブン 会津門田村西店"
"139.9049750", "37.4726710", "dentist", "飯寺ファミリー歯科"
"139.9078180", "37.4762370", "hotel", "健康倶楽部あいづ 鶴城館"
"139.9228290", "37.5183180", "playground", "スーパーノバ"
"139.9050560", "37.4768020", "fast_food", "幸楽苑"
"139.9047040", "37.4772210", "convenience", "ファミリーマート"
"139.9042410", "37.4763640", "dry_cleaning", ""
"139.9269880", "37.5499840", "public_building", "河東公民館"
"139.9265156", "37.5498733", "public_building", "河東保健センター"
"139.9257958", "37.5497405", "public_building", "桜河苑"
"139.9278740", "37.5490790", "kindergarten", "広田保育所"
"139.9283500", "37.4959260", "books", "TSUTAYA"
"139.9285918", "37.5478089", "post_office", "広田郵便局"
"139.9324430", "37.4975590", "convenience", "セブンイレブン"
"139.9319130", "37.4974550", "restaurant", "悟空林"
"139.9310700", "37.4976710", "parking", "さくらパーキング"
"139.9308120", "37.4977260", "bank", "常陽銀行"
"139.8413290", "37.5295760", "toilets", "新鶴PA"
"139.8410600", "37.5295760", "vending_machinebeverages", ""
"139.9330110", "37.5142320", "farm", "まんま～じゃ"
"139.9329520", "37.5177340", "restaurant", "ビッグボーイ"
"139.9325920", "37.5177510", "video", "ゲオ"
"139.9225830", "37.4854890", "clothes", "西松屋"
"139.9221000", "37.4855210", "optician", "眼鏡市場"
"139.8741830", "37.4936540", "place_of_worship", "古峯神社 湯殿山"
"139.8733500", "37.4941680", "public_building", "中荒井多目的集会場"
"139.8732530", "37.4910020", "telephone", ""
"139.9307911", "37.4968116", "restaurant", "いさみ"
"139.9303456", "37.4965854", "restaurant", "栄安"
"139.9308322", "37.4964295", "restaurant", "田季野"
"139.8738411", "37.4955872", "place_of_worship", "千葉寺"
"139.8736638", "37.4922468", "place_of_worship", "諏訪神社"
"139.9087370", "37.4854850", "コインランドリー サンキューlaundry", ""
"139.9087380", "37.4856240", "public_building", "カーブス西若松"
"139.9087420", "37.4855530", "school", "カワイ音楽教室"
"139.9264750", "37.4879630", "dentist", "小山歯科医院"
"139.9106210", "37.4836700", "hospital", "小野木クリニック"
"139.9280805", "37.5174967", "electronics", "ヤマダ電機"
"139.9297460", "37.5012170", "optician", "和真眼鏡"
"139.9270474", "37.5177108", "restaurant", "ガスト"
"139.9266068", "37.5177172", "electronics", "NTT docomo"
"139.9287036", "37.5176978", "supermarket", "ダイソー"
"139.9053050", "37.4863510", "dentist", "加羽沢歯科医院"
"139.9063840", "37.4860280", "doctors", "斎藤医院"
"139.9426340", "37.5011340", "fast_food", "かっぱ寿司"
"139.9425310", "37.5009750", "hotel", "ホテルルートイン"
"139.9433330", "37.5002740", "fuel", "ゼネラル"
"139.9310050", "37.4794290", "convenience", "セブンイレブン 会津天神町店"
"139.9271020", "37.4849060", "pharmacy", "ツルハドラッグ 会津南町支店"
"139.9466000", "37.5120240", "restaurant", "まったりラーメン"
"139.9327127", "37.4776577", "bank", "福島銀行"
"139.9331347", "37.4775922", "doctors", "蝦谷クリニック"
"139.9408720", "37.4891079", "telephone", ""
"139.9134069", "37.4865006", "public_building", "城西コミュニティセンター"
"139.9101320", "37.4907380", "place_of_worship", "古峯神社"
"139.9105390", "37.4772200", "doctors", "仙波耳鼻咽喉科"
"139.9155558", "37.5196813", "books", "西沢書店"
"139.9155749", "37.5193884", "pharmacy", ""
"139.9162042", "37.5197464", "bank", "東邦銀行会津アピオ支店"
"139.9147035", "37.5210296", "place_of_worship", "写遊亭"
"139.9163040", "37.5216889", "public_building", "アピオセンター"
"139.9064571", "37.4713322", "pharmacy", ""
"139.9481859", "37.5109817", "restaurant", "ごんちゃん"
"139.9186799", "37.4911751", "convenience", "セブンイレブン 城西店"
"139.9111990", "37.4880700", "dentist", "けいこ歯科"
"139.9112110", "37.4876990", "doctors", "手塚医院"
"139.9203460", "37.4943270", "bank", "福島銀行 融通寺町出張所"
"139.9172260", "37.4913660", "confectionery", "原田飴本舗"
"139.9120375", "37.5170730", "fuel", "ゼネラル"
"139.9117190", "37.5170462", "car", "トヨタカローラ"
"139.9012451", "37.5175855", "public_building", "中央公民館 神指分館"
"139.9096310", "37.4907740", "hairdresser", "理容セキヤ"
"139.9371810", "37.4826320", "restaurant", "ココ壱番屋"
"139.9374810", "37.4821560", "convenience", "セブンイレブン"
"139.9352056", "37.4807217", "cafe", "快活クラブ"
"139.9348682", "37.4807584", "dry_cleaning", "ホワイト急便"
"139.9347471", "37.4807655", "hairdresser", "美容室イノセント"
"139.9300285", "37.4779540", "restaurant", "うまか亭"
"139.9303319", "37.4776687", "fire_station", "通信指令センター"
"139.9236398", "37.4786874", "place_of_worship", "小野屋さくらホール門田斎苑"
"139.9300167", "37.4777193", "clothes", "ワークマン"
"139.9341985", "37.4795582", "post_box", ""
"139.9317344", "37.4774886", "clothes", "三信"
"139.9112276", "37.5216232", "public_building", "北公民館"
"139.9313335", "37.4896891", "cafe", "会津葵　西遊館"
"139.9322276", "37.4900767", "public_building", "ボランティアセンター"
"139.9302279", "37.4902010", "restaurant", "ハトヤ食堂"
"139.9317656", "37.4937209", "butcher", "澤井鯉店"
"139.9321545", "37.4899788", "restaurant", "ラシーヌ"
"139.9304086", "37.4901636", "gift", "会津葵"
"139.9312457", "37.4900862", "cafe", "北出丸カフェ　アドリア"
"139.9304053", "37.4912891", "restaurant", "香寿庵"
"139.9326800", "37.4920754", "public_building", "会津労働基準局"
"139.9061526", "37.4715680", "parking", ""
"139.9059977", "37.4507131", "caravan_site", "せせらぎ公園オートキャンプ場"
"139.9057755", "37.4486669", "parking", ""
"139.9061620", "37.4482656", "toilets", ""
"139.9067159", "37.4471980", "toilets", ""
"139.9049026", "37.4505269", "parking", ""
"139.9141850", "37.4922880", "place_of_worship", "崖薬師"
"139.9298550", "37.5014230", "public_building", "会津まちなかITセンター"
"139.9064680", "37.4859760", "doctors", "斎藤医院"
"139.9070190", "37.4863070", "hairdresser", "ヘアーサロン エガワ"
"139.9072140", "37.4860470", "hairdresser", "髪ふうせん"
"139.9086010", "37.4863780", "dry_cleaning", "ホワイト急便"
"139.9091300", "37.4864070", "hairdresser", "ファミリーヘアーサロン ビート"
"139.9095140", "37.4861410", "hairdresser", "サロンド なな"
"139.9096390", "37.4861480", "restaurant", "麺屋 あおい"
"139.9322720", "37.5173710", "video", "ゲオ"
"139.9178290", "37.4860040", "hairdresser", "ピュア"
"139.9191040", "37.4858760", "hairdresser", "テピカル美容室"
"139.9230880", "37.4854830", "doityourself", "根本塗装店"
"139.9242760", "37.4855780", "sports", "スポーツショップ ウイング"
"139.9249090", "37.4855470", "pharmacy", "松下薬品"
"139.9251200", "37.4855340", "bank", "会津商工信用組合城南支店"
"139.9153760", "37.5182770", "clothes", "西松屋"
"139.9336930", "37.4771350", "doityourself", "カインズホーム"
"139.9342180", "37.4774130", "fuel", "ワタショウ"
"139.9347460", "37.4782800", "fuel", "コスモ石油"
"139.8869930", "37.4825060", "garden", "みのり果樹園"
"139.9258309", "37.5517608", "public_building", "会津若松市役所　河東支所"
"139.9214130", "37.4913230", "hospital", "山鹿クリニック"
"139.9230770", "37.4952000", "dentist", "桑原歯科医院"
"139.9214000", "37.4910720", "pharmacy", "ありす薬局"
"139.9258950", "37.4825990", "place_of_worship", "古峯神社"
"139.9364670", "37.5137310", "restaurant", "とん八"
"139.9365450", "37.5133170", "convenience", "セブンイレブン"
"139.9249500", "37.4784690", "mobile_phone", "ソフトバンクショップ (SoftBank shop)"
"139.9441740", "37.5067690", "bakery", "ホームベーカリー コビヤマ"
"139.9453416", "37.5070629", "university", "会津大学短期大学部"
"139.9237040", "37.4990390", "Bakery", "喜久屋パン店"
"139.9506863", "37.4996607", "bakery", "りんどん"
"139.9469163", "37.4966859", "restaurant", "徳一"
"139.9167023", "37.4769310", "kindergarten", "みなみわかば幼稚園"
"139.9290580", "37.4958820", "restaurant", "くるくる軒"
"139.9287100", "37.4959710", "place_of_worship", "福満虚空蔵尊"
"139.9287180", "37.4960340", "place_of_worship", "蒲生氏郷公墓所"
"139.9303780", "37.4899260", "cafe", "ハウゼ"
"139.9277940", "37.4949310", "pet", "ケースタイル"
"139.9280970", "37.4949630", "hotel", "中村屋旅館"
"139.9278190", "37.4950460", "furniture", "prese"
"139.9279100", "37.4954080", "jewelry", "時計宝飾メガネ サトウ"
"139.9276530", "37.4954170", "stationery", "栄町オサダ"
"139.9289270", "37.4951378", "bicycle", "松坂屋自転車店"
"139.9329050", "37.4731730", "doctors", "いとう子どもクリニック"
"139.9332780", "37.4731440", "convenience", "セブンイレブン"
"139.9180721", "37.4822117", "hairdresser", "ミウラ"
"139.9090136", "37.4814838", "furniture", "うつわの店千藤"
"139.9161133", "37.4821938", "doctors", "あらい内科循環器科クリニック"
"139.9161209", "37.4820404", "doctors", "あいづ整形外科"
"139.9362910", "37.4805510", "restaurant", "海老のまるやま"
"139.9358200", "37.4806340", "doityourself", "生活良品セリア"
"139.9359560", "37.4808020", "restaurant", "インド食"
"139.9357200", "37.4803730", "glass", "金美堂"
"139.9233252", "37.4644038", "restaurant", "しおえ"
"139.9256642", "37.4748899", "supermarket", "リオンドール"
"139.9258359", "37.4754667", "doityourself", "ダイソー"
"139.9246287", "37.4993367", "electronics", "ラジオセンター"
"139.8939280", "37.4951903", "recycling", "ごみ焼却処理施設"
"139.9249530", "37.4784680", "mobile_phone", "ソフトバンク 会津門田店"
"139.9219109", "37.4596724", "convenience", "セブンイレブン"
"139.9220220", "37.4599820", "car wash", "洗車"
"139.9168072", "37.4780041", "doctors", "いとう内科消化器科クリニック"
"139.9335767", "37.5070506", "hotel", "会津若松ワシントンホテル"
"139.9339110", "37.5048910", "fuelfuel", "日石販売"
"139.9381000", "37.5220590", "post_box", ""
"139.9169280", "37.5180420", "restaurant", "中華飯店 重慶"
"139.9263480", "37.4822210", "liquor", "星野酒店"
"139.9231650", "37.4998130", "restaurant", "カフェ&バー ウノ"
"139.8749365", "37.4918190", "parking", ""
"139.8732623", "37.4913670", "parking", ""
"139.8750454", "37.4914417", "parking", ""
"139.8741737", "37.4920194", "parking", ""
"139.9267484", "37.5511482", "toilets", ""
"139.9218565", "37.4995380", "alcohol", "キタアイダ"
"139.9442370", "37.5210360", "convenience", "ファミリーマート"
"139.9232290", "37.5181380", "convenience", "ファミリーマート"
"139.9222190", "37.4924560", "bakery", "太郎庵"
"139.9315620", "37.5073310", "bar", "白木屋"
"139.9320200", "37.5068620", "parkingparking", ""
"139.9305990", "37.5068230", "hotel", "フジグランドホテル"
"139.9305920", "37.5078950", "parking", ""
"139.9297970", "37.5062150", "bicycle_parking", ""
"139.9320130", "37.5072030", "car_rental", "オリックスレンタカー"
"139.9322520", "37.5071410", "information", "会津バス観光"
"139.8387250", "37.4611930", "bakery", "太郎庵"
"139.8394170", "37.4611060", "bank", "東邦銀行"
"139.9175860", "37.5015990", "convenience", "セブンイレブン"
"139.9316400", "37.4975080", "liquor", "User defined"
"139.9292107", "37.4613400", "miniature_golf", ""
"139.9283677", "37.4598345", "parking", ""
"139.9296213", "37.4606528", "toilets", ""
"139.9299125", "37.4604285", "playground", "わんぱく広場"
"139.9236889", "37.4601943", "parking", ""
"139.9219275", "37.4598246", "fuel", ""
"139.9236298", "37.4630508", "pitch", ""
"139.9512189", "37.5043084", "parking", "飯盛山市営駐車場"
"139.9264110", "37.4966900", "park", "野口英世青春広場"
"139.9338425", "37.5236369", "hospital", "舟田クリニック産婦人科"
"139.8957939", "37.5145406", "place_of_worship", "福昌寺"
"139.8926662", "37.5005041", "convenience", "ファミリーマート"
"139.9413705", "37.5095123", "convenience", "セブンイレブン"
"139.9281177", "37.5107763", "convenience", "セブンイレブン"
"139.9167039", "37.5183189", "car_repair", "イエローハット"
"139.9157875", "37.5183348", "clothes", "ユニクロ"
"139.8699421", "37.5305049", "hairdresser", "ヘアサロン ルシア"
"139.8685548", "37.5300096", "restaurant", "伊太利亭"
"139.9928492", "37.5171252", "playground", ""
"139.9250122", "37.4993511", "hifi", "ラグ"
"139.9272713", "37.4986374", "stationery", "林部印店"
"140.0096632", "37.5123504", "community_centre", "笹山原公民館"
"139.8651727", "37.5066987", "confectionery", ""
"139.9296283", "37.5183590", "car", "ダイハツ会津店"
"139.9446742", "37.5089746", "place_of_worship", "八幡神社"
"139.9349280", "37.4939280", "hairdresser", "Lowcal Agree"
"139.9353600", "37.4937440", "hairdresser", "理容ＭＧ"
"139.9399680", "37.4926000", "doctors", "さいとう内科胃腸科クリニック"
"139.9415040", "37.4918200", "restaurant", "デニーズ"
"139.9405920", "37.4915760", "supermarket", "ヨークベニマル　花春町店"
"139.9412960", "37.4909840", "hairdresser", "絹美容室"
"139.9412000", "37.4905760", "laundry", "コインランドリー　サンキュー"
"139.9410400", "37.4898400", "shoes", "シュープラザ　チヨダ"
"139.9409440", "37.4893240", "florist", "エンドー花店"
"139.9411360", "37.4890680", "car", "セレクトワンズ"
"139.9215040", "37.4856120", "bicycle", "ワンズサイクル"
"139.9388636", "37.5518396", "school", "市立川東中学校"
"139.9311447", "37.5101772", "doityourself", "ダイユーエイト"
"139.9260386", "37.4782071", "car", "トヨタカローラ"
"139.9253466", "37.4783518", "car", "福島トヨペット"
"139.9430369", "37.5051114", "mobile_phone", "ソフトバンクショップ (SoftBank shop)"
"139.9225557", "37.5181070", "mobile_phone", "ソフトバンクショップ (SoftBank shop)"
"139.9387836", "37.5248965", "toilets", ""
"139.9361450", "37.5250288", "drinking_water", ""
"139.9356205", "37.5218990", "cafe", "ベーカリーカフェ　コパン"
"139.9336171", "37.5214999", "hospital", ""
